MIT seeds: G/B GU count, name	Pos_gene	Neg_gene	Pos_site	Neg_site	Pos_site_enrichment	Odds_ratio
8mer   , 1 GU	20	5132	24	12026	 1.1822	 1.1823
7mer-m8  1 GU	54	12041	90	50246	 1.0611	 1.0612
7mer-A1  1 GU	56	10376	93	36499	 1.5094	 1.5108
6mer     1 GU	150	16049	371	165176	 1.3305	 1.3343
offset-6mer  1 GU	164	16520	508	237309	 1.2681	 1.2723
8mer     2 GU	13	4400	24	9214	 1.5430	 1.5434
7mer-m8  2 GU	44	10579	96	38961	 1.4596	 1.4610
7mer-A1  2 GU	46	10414	90	37077	 1.4379	 1.4391
6mer     2 GU	131	15911	387	165343	 1.3865	 1.3911
offset-6mer  2 GU	153	16324	444	226032	 1.1636	 1.1659
8mer     3 GU	6	2109	7	3207	 1.2930	 1.2931
7mer-m8  3 GU	20	5938	27	13727	 1.1652	 1.1653
7mer-A1  3 GU	25	7450	39	19900	 1.1609	 1.1611
6mer     3 GU	75	13892	155	89321	 1.0280	 1.0281
offset-6mer  3 GU	104	14922	280	120206	 1.3798	 1.3831
8mer     4 GU	1	438	1	478	 1.2393	 1.2393
7mer-m8  4 GU	4	1648	5	2107	 1.4057	 1.4058
7mer-A1  4 GU	7	2862	8	5095	 0.9301	 0.9301
6mer     4 GU	18	7521	44	22848	 1.1408	 1.1410
offset-6mer  4 GU	47	11062	69	37268	 1.0968	 1.0970
8mer     5 GU	0	28	0	28	 0.0000	 0.0000
7mer-m8  5 GU	0	108	0	111	 0.0000	 0.0000
7mer-A1  5 GU	0	589	0	641	 0.0000	 0.0000
6mer     5 GU	2	1549	2	1855	 0.6387	 0.6387
offset-6mer  5 GU	8	4503	8	6774	 0.6996	 0.6995
offset-6mer  6 GU	1	702	1	771	 0.7683	 0.7683
other    ? GU	217	17322	29898	18051302	 0.9811	 0.7778
Total Sites in Pos/Neg Sets	32671	19353522
