MIT seeds: G/B GU count  name	Pos_gene	Neg_gene	Pos_site	Neg_site	Pos_site_enrichment	Odds_ratio
8mer     1 GU	489	16225	1125	98797	 1.8013	 1.8025
7mer-m8  1 GU	936	18895	2345	304982	 1.2163	 1.2170
7mer-A1  1 GU	1262	18876	2931	308877	 1.5011	 1.5030
6mer     1 GU	2257	19304	7922	1021314	 1.2270	 1.2294
offset-6mer  1 GU	2717	19312	12838	1651459	 1.2297	 1.2337
8mer     2 GU	358	15499	682	78234	 1.3790	 1.3793
7mer-m8  2 GU	759	18646	1575	235358	 1.0586	 1.0587
7mer-A1  2 GU	1168	18887	2671	308854	 1.3680	 1.3693
6mer     2 GU	2031	19296	7645	1022080	 1.1832	 1.1851
offset-6mer  2 GU	2610	19308	11924	1438710	 1.3110	 1.3161
8mer     3 GU	159	10441	202	26740	 1.1950	 1.1950
7mer-m8  3 GU	312	15948	484	80379	 0.9525	 0.9525
7mer-A1  3 GU	623	17568	1140	148144	 1.2173	 1.2176
6mer     3 GU	1251	19120	3491	502372	 1.0992	 1.0997
offset-6mer  3 GU	1849	19274	5602	789563	 1.1223	 1.1233
8mer     4 GU	48	3769	51	4819	 1.6741	 1.6742
7mer-m8  4 GU	67	8058	77	13736	 0.8867	 0.8867
7mer-A1  4 GU	191	11950	289	35743	 1.2790	 1.2791
6mer     4 GU	395	16911	680	113192	 0.9503	 0.9503
offset-6mer  4 GU	780	18697	1364	217595	 0.9916	 0.9916
8mer     5 GU	2	269	2	275	 1.1504	 1.1504
7mer-m8  5 GU	5	585	5	605	 1.3073	 1.3073
7mer-A1  5 GU	25	2569	26	2968	 1.3857	 1.3857
6mer     5 GU	46	6616	46	9666	 0.7528	 0.7528
offset-6mer  5 GU	165	13001	197	32977	 0.9450	 0.9450
offset-6mer  6 GU	12	2502	12	2944	 0.6448	 0.6448
other    ? GU	3472	19314	682039	109772705	 0.9828	 0.8037
Total Sites in Pos/Neg Sets	747365	118223088
