MIT seeds: G/B GU count, name	Pos_gene	Neg_gene	Pos_site	Neg_site	Pos_site_enrichment	Odds_ratio
8mer	   1 GU	1	2529	1	7003	 0.2199	 0.2198
7mer-m8	   1 GU	18	6975	42	36744	 1.7602	 1.7634
7mer-A1	   1 GU	9	6051	32	24160	 2.0396	 2.0430
6mer	   1 GU	24	10507	61	118917	 0.7899	 0.7886
offset-6mer	   1 GU	40	11162	159	176328	 1.3886	 1.3949
8mer	   2 GU	2	2595	3	6666	 0.6930	 0.6929
7mer-m8	   2 GU	9	6749	17	30443	 0.8599	 0.8597
7mer-A1	   2 GU	7	6549	19	25317	 1.1557	 1.1560
6mer	   2 GU	32	10754	158	130295	 1.8673	 1.8814
offset-6mer	   2 GU	29	11360	97	184102	 0.8113	 0.8095
8mer	   3 GU	0	1122	0	2063	 0.0000	 0.0000
7mer-m8	   3 GU	3	3710	12	10272	 1.7989	 1.7999
7mer-A1	   3 GU	3	4968	5	14601	 0.5273	 0.5271
6mer	   3 GU	12	9377	21	70472	 0.4589	 0.4577
offset-6mer	   3 GU	21	10564	72	102627	 1.0803	 1.0809
8mer	   4 GU	0	209	0	236	 0.0000	 0.0000
7mer-m8	   4 GU	1	746	1	986	 1.5618	 1.5618
7mer-A1	   4 GU	0	2151	0	3974	 0.0000	 0.0000
6mer	   4 GU	5	5621	15	18767	 1.2308	 1.2312
offset-6mer	   4 GU	4	7928	7	32999	 0.3267	 0.3262
8mer	   5 GU	0	14	0	14	 0.0000	 0.0000
7mer-m8	   5 GU	0	57	0	61	 0.0000	 0.0000
7mer-A1	   5 GU	0	404	0	445	 0.0000	 0.0000
6mer	   5 GU	1	1519	1	2347	 0.6561	 0.6561
offset-6mer	   5 GU	1	3207	1	5022	 0.3066	 0.3066
offset-6mer	   6 GU	0	392	0	435	 0.0000	 0.0000
other	   ? GU	68	12096	9201	14278196	 0.9923	 0.8948
Total Sites in Pos/Neg Sets	9925	15283492
