MIT seeds: G/B GU count, name	Pos_gene	Neg_gene	Pos_site	Neg_site	Pos_site_enrichment	Odds_ratio
8mer	    1 GU	67	10334	155	81189	 1.4433	 1.4437
7mer-m8	    1 GU	165	11994	401	279847	 1.0833	 1.0835
7mer-A1	    1 GU	129	12010	276	250818	 0.8319	 0.8315
6mer	    1 GU	361	12239	1102	898564	 0.9271	 0.9265
offset-6mer	    1 GU	548	12249	1992	1447518	 1.0403	 1.0409
8mer	    2 GU	22	9873	34	61709	 0.4165	 0.4164
7mer-m8	    2 GU	104	11843	219	198672	 0.8333	 0.8331
7mer-A1	    2 GU	137	11978	323	229026	 1.0662	 1.0663
6mer	    2 GU	350	12242	1245	886285	 1.0619	 1.0625
offset-6mer	    2 GU	542	12249	1911	1357151	 1.0645	 1.0654
8mer	    3 GU	10	6911	12	19297	 0.4701	 0.4701
7mer-m8	    3 GU	37	10347	63	66380	 0.7175	 0.7174
7mer-A1	    3 GU	63	11555	108	118475	 0.6891	 0.6889
6mer	    3 GU	166	12179	437	455885	 0.7247	 0.7238
offset-6mer	    3 GU	296	12243	775	754628	 0.7764	 0.7751
8mer	    4 GU	5	2131	5	2671	 1.4152	 1.4152
7mer-m8	    4 GU	5	4687	8	7917	 0.7639	 0.7639
7mer-A1	    4 GU	26	8956	27	31271	 0.6527	 0.6527
6mer	    4 GU	51	11517	91	110211	 0.6242	 0.6240
offset-6mer	    4 GU	156	12082	284	227142	 0.9452	 0.9451
8mer	    5 GU	0	187	0	189	 0.0000	 0.0000
7mer-m8	    5 GU	0	413	0	442	 0.0000	 0.0000
7mer-A1	    5 GU	3	2934	3	3786	 0.5990	 0.5990
6mer	    5 GU	7	6300	10	14375	 0.5259	 0.5259
offset-6mer	    5 GU	18	9553	21	31183	 0.5091	 0.5090
offset-6mer	    6 GU	1	1796	1	2116	 0.3573	 0.3573
other	    ? GU	1116	12251	128805	97020640	 1.0036	 1.0529
Total Sites in Pos/Neg Sets	138308	104557387
