 The calculation of partition function U (Ding and Lawrence 2003) and structure
 sampling currently do not consider 1) single base stacking/dangling energies
 (both 5' and 3') for exterior loop, and 2) 5' single base stacking energies for
 multi-branched loops. These omitted energies are included in energy
 recalculation to get the final energy of the structure for a complete adaptation
 of the 1999 Turner energies.
 Column 1: structure ID
 Column 2: initial energy of the structure
 Column 3: final energy - initial energy (see file fe.out for final energy)
 ---------------------------------------------------------------------------------
 Ensemble free energy: 	-RT ln(U)= -28.297589225636652 kcal/mol
   1     -26.30      -2.10
   2     -25.40      -1.70
   3     -25.40      -2.30
   4     -26.50      -2.20
   5     -25.50      -1.70
   6     -21.50      -2.10
   7     -25.10      -1.70
   8     -24.50      -1.70
   9     -26.50      -2.20
  10     -26.00      -1.70
  11     -26.50      -2.20
  12     -26.10      -2.10
  13     -23.80      -1.90
  14     -25.60      -1.90
  15     -26.20      -2.30
  16     -24.00      -1.70
  17     -24.40      -1.70
  18     -23.70      -1.70
  19     -26.10      -2.10
  20     -24.20      -1.70
  21     -26.00      -1.70
  22     -23.90      -3.80
  23     -24.50      -1.70
  24     -26.00      -2.30
  25     -24.60      -3.90
  26     -26.30      -2.10
  27     -22.90      -2.20
  28     -26.20      -2.30
  29     -25.40      -1.70
  30     -26.70      -2.20
  31     -21.90      -1.70
  32     -26.50      -2.20
  33     -25.60      -2.20
  34     -26.30      -2.10
  35     -26.70      -2.20
  36     -26.00      -1.70
  37     -20.40      -1.90
  38     -26.20      -2.30
  39     -22.40      -1.70
  40     -25.80      -1.90
  41     -25.50      -1.70
  42     -23.80      -2.30
  43     -24.60      -1.70
  44     -25.10      -1.70
  45     -22.20      -1.70
  46     -26.30      -2.10
  47     -26.20      -1.70
  48     -24.40      -2.10
  49     -25.10      -1.90
  50     -23.30      -1.70
  51     -25.40      -1.90
  52     -25.00      -1.70
  53     -25.60      -2.20
  54     -26.20      -2.30
  55     -26.20      -1.70
  56     -22.50      -2.30
  57     -25.40      -1.70
  58     -24.00      -1.70
  59     -22.00      -2.30
  60     -24.80      -1.70
  61     -26.20      -1.70
  62     -25.40      -2.30
  63     -25.10      -2.30
  64     -23.20      -1.70
  65     -25.10      -2.30
  66     -24.20      -1.70
  67     -22.30      -2.00
  68     -24.50      -1.70
  69     -26.00      -2.30
  70     -26.30      -2.10
  71     -21.60      -2.30
  72     -24.80      -2.20
  73     -24.50      -2.30
  74     -25.30      -1.90
  75     -26.20      -2.30
  76     -24.50      -1.70
  77     -23.80      -1.70
  78     -23.40      -2.00
  79     -22.50      -1.70
  80     -26.70      -2.20
  81     -26.10      -2.10
  82     -22.50      -1.90
  83     -26.50      -2.20
  84     -24.10      -1.90
  85     -25.00      -1.70
  86     -26.50      -2.20
  87     -25.20      -2.10
  88     -19.40      -1.70
  89     -26.70      -2.20
  90     -24.90      -2.30
