"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_017589"	"miR-103"	1000	"471-494"	"488-493"	"offset-6mer"	0	1	1	0	"488-494"	"483-483"	"471-482"	1.0801	1.1939	0.9135	-23.2	0.8312	-0.407	0.684	-2.2	0.9315	0.248	0.6635	0.483	1.0967	0.177	0.6307	0.417	1.1993	0.47	1.1227	0.52	1.1864	0.633	1.5733
"NM_017589"	"miR-106b"	1000	"599-621"	"616-621"	"offset-6mer"	0	0	0	0	"616-621"	"607-615"	"599-606"	0.8931	0.8376	0.9135	-15.1	1.2856	-0.21	0.684	2.673	0.7129	0.353	0.9465	0.383	0.9738	0.339	0.8829	0.184	0.81	0.59	0.9265	0.52	1.1864	0.533	1.4919
"NM_017589"	"miR-107"	1000	"470-494"	"488-493"	"offset-6mer"	0	1	1	0	"488-494"	"483-483"	"470-482"	1.0801	1.1939	0.9135	-25.3	0.553	-0.385	0.684	-7.878	1.1606	0.24	0.6635	0.48	1.0967	0.177	0.6307	0.417	1.1993	0.47	1.1227	0.52	1.1864	0.633	1.5733
"NM_017589"	"miR-140-3p"	1000	"723-758"	"752-757"	"6mer"	0	0	1	0	"739-757"	"737-738"	"723-730"	0.9926	1.1939	0.7964	-22.2	0.8703	-0.158	0.684	-3.529	1.0049	0.412	1.0534	0.498	1.0967	0.296	0.8213	0.196	0.81	0.72	0.8331	0.64	1.618	0.367	0.5996
"NM_017589"	"miR-17"	1000	"594-621"	"616-621"	"offset-6mer"	0	0	0	0	"616-621"	"607-615"	"594-606"	0.8931	0.8376	0.9135	-18.4	1.1591	-0.646	0.9465	-0.651999999999997	1.0246	0.377	0.9465	0.246	0.8671	0.339	0.8829	0.184	0.81	0.59	0.9265	0.64	1.618	0.533	1.4919
"NM_017589"	"miR-181a"	1000	"736-754"	"749-754"	"6mer"	0	0	0	0	"749-754"	"0-0"	"736-744"	0.7794	0.8376	0.7964	-16.2	1.2826	-0.841	0.9465	-4.155	1.0645	0.456	1.3778	0.388	0.9738	0.331	0.8829	0.524	1.0455	0.73	0.8331	0.6	1.5183	0.333	0.4824
"NM_017589"	"miR-181c"	1000	"736-754"	"749-754"	"6mer"	0	0	0	0	"749-754"	"0-0"	"736-744"	0.7794	0.8376	0.7964	-16.6	1.2826	-0.841	0.9465	-4.555	1.0645	0.456	1.3778	0.388	0.9738	0.331	0.8829	0.524	1.0455	0.73	0.8331	0.6	1.5183	0.333	0.4824
"NM_017589"	"miR-186"	1000	"515-535"	"530-535"	"6mer"	0	0	0	0	"530-535"	"524-525"	"515-518"	0.7794	0.8376	0.7964	-11.6	1.4244	-4.716	1.2954	-0.538	1.0246	0.424	1.0534	0.147	0.6317	0.445	1.1546	0.668	1.0965	0.51	0.9265	0.56	1.5183	0.567	1.5517
"NM_017589"	"miR-18a-3p"	1000	"380-413"	"405-410"	"offset-6mer"	0	0	0	0	"405-412"	"397-398"	"380-396"	0.8931	0.8376	0.9135	-19.7	1.0384	-0.72	0.9465	-0.413	1.0246	0.341	0.8268	0.644	1.085	0.408	1.1546	0.178	0.81	0.38	1.1525	0.6	1.5183	0.633	1.5733
"NM_017589"	"miR-18a-3p"	1000	"311-349"	"344-349"	"offset-6mer"	0	0	0	0	"344-349"	"326-341"	"311-325"	0.8931	0.8376	0.9135	-26.5	0.553	-4.298	1.1973	-0.710999999999999	1.0246	0.298	0.642	0.491	1.0967	0.394	0.9543	0.021	0.7267	0.31	1.1525	0.68	1.696	0.567	1.5517
"NM_017589"	"miR-18a-3p"	1000	"380-410"	"405-410"	"offset-6mer"	0	0	0	0	"405-410"	"397-398"	"380-396"	0.8931	0.8376	0.9135	-19.2	1.0384	-0.72	0.9465	2.225	0.7129	0.342	0.8268	0.644	1.085	0.466	1.155	0.178	0.81	0.38	1.1525	0.6	1.5183	0.667	1.4726
"NM_017589"	"miR-19a"	1000	"260-278"	"273-278"	"offset-6mer"	0	0	0	0	"273-278"	"266-268"	"260-265"	0.8931	0.8376	0.9135	-16.4	1.2826	-4.117	1.1973	-5.942	1.0339	0.463	1.3778	0.866	1.0079	0.243	0.7655	0.237	0.9327	0.26	1.1453	0.8	1.2574	0.633	1.5733
"NM_017589"	"miR-19a"	1000	"260-280"	"273-278"	"offset-6mer"	0	1	0	0	"273-278"	"266-268"	"260-265"	0.8931	0.8376	0.9135	-17.4	1.3042	-4.117	1.1973	-5.926	1.0339	0.43	1.0534	0.866	1.0079	0.234	0.7655	0.237	0.9327	0.26	1.1453	0.8	1.2574	0.667	1.4726
"NM_017589"	"miR-19b"	1000	"260-280"	"273-278"	"offset-6mer"	0	1	0	0	"273-278"	"267-268"	"260-262"	0.8931	0.8376	0.9135	-13.5	1.4244	-0.169	0.684	-2.026	0.9315	0.43	1.0534	0.866	1.0079	0.234	0.7655	0.237	0.9327	0.26	1.1453	0.8	1.2574	0.667	1.4726
"NM_017589"	"miR-19b"	1000	"260-278"	"273-278"	"offset-6mer"	0	0	0	0	"273-278"	"267-268"	"260-262"	0.8931	0.8376	0.9135	-12.5	1.4244	-0.169	0.684	-2.042	0.9315	0.463	1.3778	0.866	1.0079	0.243	0.7655	0.237	0.9327	0.26	1.1453	0.8	1.2574	0.633	1.5733
"NM_017589"	"miR-20a"	1000	"594-621"	"616-621"	"offset-6mer"	0	0	0	0	"616-621"	"615-615"	"594-600"	0.8931	0.8376	0.9135	-17.4	1.3042	-0.646	0.9465	0.348000000000003	0.7129	0.377	0.9465	0.246	0.8671	0.339	0.8829	0.184	0.81	0.59	0.9265	0.64	1.618	0.533	1.4919
"NM_017589"	"miR-221"	1000	"621-644"	"639-644"	"7mer-A1"	0	1	0	0	"631-644"	"628-630"	"621-627"	1.1236	0.8376	1.1665	-21.1	0.9439	-0.321	0.684	-1.768	1.002	0.303	0.8268	0.388	0.9738	0.381	0.9543	0.263	1.0461	0.62	0.7679	0.48	0.9923	0.533	1.4919
"NM_017589"	"miR-221"	1000	"420-429"	"424-429"	"offset-6mer"	0	0	0	0	"424-429"	"422-423"	"420-421"	0.8931	0.8376	0.9135	-13.8	1.4244	-0.205	0.684	-10.113	1.3689	0.285	0.642	0.36	0.9738	0.295	0.8213	0.066	0.791	0.42	1.1227	0.56	1.5183	0.533	1.4919
"NM_017589"	"miR-222"	1000	"609-644"	"639-644"	"7mer-A1"	0	1	0	0	"634-644"	"632-633"	"609-617"	1.1236	0.8376	1.1665	-19.5	1.0384	-0.425	0.684	4.931	0.7129	0.336	0.8268	0.373	0.9738	0.381	0.9543	0.263	1.0461	0.6	0.7679	0.52	1.1864	0.533	1.4919
"NM_017589"	"miR-222"	1000	"420-429"	"424-429"	"offset-6mer"	0	0	0	0	"424-429"	"0-0"	"420-422"	0.8931	0.8376	0.9135	-13.1	1.4244	-0.162	0.684	-9.413	1.3643	0.285	0.642	0.36	0.9738	0.295	0.8213	0.066	0.791	0.42	1.1227	0.56	1.5183	0.533	1.4919
