"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_017589"	"miR-10a"	1000	"933-961"	"955-960"	"6mer"	0	0	0	0	"955-960"	"951-953"	"933-945"	0.7119	0.8748	0.7134	-20.9	1.1304	-1.062	1.0925	-0.0229999999999997	0.9778	0.367	0.9553	0.333	1.0223	0.275	0.9206	0.295	1.0865	0.93	1.0878	0.4	0.4612	0.7	1.6161
"NM_017589"	"miR-10b"	1000	"951-961"	"955-960"	"6mer"	0	0	0	0	"955-960"	"951-953"	"0-0"	0.7119	0.8748	0.7134	-19.3	1.1718	-1.062	1.0925	-6.502	1.1279	0.269	0.8045	0.482	1.1039	0.275	0.9206	0.295	1.0865	0.95	1.0878	0.56	1.0763	0.7	1.6161
"NM_017589"	"miR-125a-5p"	1000	"932-959"	"954-959"	"6mer"	0	0	0	0	"952-959"	"951-951"	"932-947"	0.7119	0.8748	0.7134	-22.6	0.9932	-2.104	1.1813	1.402	0.622	0.361	0.9553	0.334	1.0223	0.287	0.9206	0.249	0.9652	0.93	1.0878	0.4	0.4612	0.7	1.6161
"NM_017589"	"miR-125b"	1000	"932-959"	"954-959"	"6mer"	0	0	0	0	"952-959"	"951-951"	"932-944"	0.7119	0.8748	0.7134	-17.8	1.1711	-1.074	1.0925	6.202	0.622	0.361	0.9553	0.334	1.0223	0.287	0.9206	0.249	0.9652	0.93	1.0878	0.4	0.4612	0.7	1.6161
"NM_017589"	"miR-148a"	1000	"895-916"	"911-916"	"6mer"	0	0	0	0	"911-916"	"0-0"	"895-906"	0.7119	0.8748	0.7134	-17.6	1.1711	-0.526	1.0005	-0.866	0.9778	0.383	0.9553	0.358	1.0187	0.35	0.9508	0.417	1.1291	0.89	0.8615	0.6	1.0763	0.467	0.6154
"NM_017589"	"miR-148b"	1000	"895-916"	"911-916"	"6mer"	0	0	0	0	"911-916"	"907-908"	"895-906"	0.7119	0.8748	0.7134	-17.8	1.1711	-0.526	1.0005	-1.066	0.9396	0.383	0.9553	0.358	1.0187	0.35	0.9508	0.417	1.1291	0.89	0.8615	0.6	1.0763	0.467	0.6154
"NM_017589"	"miR-18a"	1000	"875-906"	"899-905"	"7mer-m8"	0	0	0	0	"899-905"	"889-889"	"875-888"	1.5396	0.8748	1.6108	-26.1	0.5918	-2.216	1.1813	-2.418	1.0377	0.346	0.8661	0.385	1.0187	0.378	1.0412	0.381	1.0852	0.87	0.8615	0.64	1.1999	0.367	0.3237
"NM_017589"	"miR-18a"	1000	"875-887"	"882-887"	"offset-6mer"	0	0	0	0	"882-887"	"0-0"	"875-881"	0.7241	0.8748	0.7217	-21.3	1.0702	-0.983	1.0005	-10.057	1.3748	0.311	0.8661	0.385	1.0187	0.405	1.0795	0.425	1.1291	0.87	0.8615	0.64	1.1999	0.433	0.4619
"NM_017589"	"miR-19a"	1000	"864-881"	"876-881"	"offset-6mer"	0	0	0	0	"876-881"	"873-875"	"864-872"	0.7241	0.8748	0.7217	-13.3	0.8745	-0.197	0.7206	1.711	0.622	0.309	0.8661	0.607	1.0372	0.309	0.9508	0.142	0.9225	0.86	0.8615	0.6	1.0763	0.433	0.4619
"NM_017589"	"miR-19a"	1000	"864-884"	"876-881"	"offset-6mer"	0	1	0	0	"876-883"	"873-875"	"864-872"	0.7241	0.8748	0.7217	-13.3	0.8745	-0.197	0.7206	3.989	0.622	0.315	0.8661	0.607	1.0372	0.389	1.0412	0.142	0.9225	0.86	0.8615	0.6	1.0763	0.433	0.4619
"NM_017589"	"miR-19b"	1000	"864-881"	"876-881"	"offset-6mer"	0	0	0	0	"876-881"	"873-875"	"864-872"	0.7241	0.8748	0.7217	-15	1.11	-0.197	0.7206	0.0109999999999992	0.622	0.309	0.8661	0.607	1.0372	0.309	0.9508	0.142	0.9225	0.86	0.8615	0.6	1.0763	0.433	0.4619
