"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_001039655"	"let-7a"	1000	"287-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"303-303"	"287-298"	0.5103	0.746	0.5154	-19.8	1.0325	-3.61	1.2986	0.678999999999998	0.6134	0.491	1.2496	0.289	0.7616	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"let-7a"	1000	"392-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"408-408"	"392-407"	0.5103	0.746	0.5154	-17.6	1.0668	-3.794	1.2986	16.237	0.6134	0.411	1.0526	0.392	1.0402	0.383	0.9418	0.746	1.3477	0.39	1.2247	0.533	1.2974	0.4	0.6512
"NM_001039655"	"let-7a"	1000	"287-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"303-303"	"287-298"	0.5103	0.746	0.5154	-20.6	1.004	-3.61	1.2986	1.629	0.6134	0.467	1.2496	0.289	0.7616	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_001039655"	"let-7b"	1000	"398-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"408-408"	"398-407"	0.5103	0.746	0.5154	-21.6	1.0916	-3.81	1.2986	-0.983	0.9882	0.494	1.2496	0.301	0.8468	0.383	0.9418	0.746	1.3477	0.39	1.2247	0.533	1.2974	0.4	0.6512
"NM_001039655"	"let-7b"	1000	"290-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"303-303"	"290-300"	0.5103	0.746	0.5154	-27	0.8004	-3.615	1.2986	-4.133	1.1323	0.44	1.0526	0.343	0.8468	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_001039655"	"let-7b"	1000	"290-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"303-303"	"290-300"	0.5103	0.746	0.5154	-26.2	0.8004	-3.615	1.2986	-5.083	1.0573	0.465	1.2496	0.343	0.8468	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"let-7c"	1000	"290-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"303-303"	"290-300"	0.5103	0.746	0.5154	-20.6	1.004	-3.616	1.2986	0.516999999999999	0.6134	0.465	1.2496	0.343	0.8468	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
"NM_001039655"	"let-7c"	1000	"398-423"	"418-423"	"offset-6mer"	0	0	0	0	"418-423"	"408-408"	"398-407"	0.5103	0.746	0.5154	-21.1	1.0916	-3.81	1.2986	-0.483000000000001	0.9882	0.494	1.2496	0.301	0.8468	0.383	0.9418	0.746	1.3477	0.39	1.2247	0.533	1.2974	0.4	0.6512
"NM_001039655"	"let-7c"	1000	"290-311"	"304-309"	"offset-6mer"	0	1	0	0	"304-309"	"303-303"	"290-300"	0.5103	0.746	0.5154	-21.4	1.0916	-3.616	1.2986	1.467	0.6134	0.44	1.0526	0.343	0.8468	0.466	1.0082	0.511	0.972	0.28	0.9862	0.367	0.5555	0.433	0.7471
"NM_001039655"	"let-7d"	1000	"287-309"	"304-309"	"offset-6mer"	0	0	0	0	"304-309"	"303-303"	"287-298"	0.5103	0.746	0.5154	-22.1	1.0075	-3.61	1.2986	-1.621	1.0822	0.491	1.2496	0.289	0.7616	0.445	0.897	0.511	0.972	0.28	0.9862	0.367	0.5555	0.467	1.177
