"Accession"	"TotLen"	"CDSFrst"	"CDSLast"
"NM_170689"	9971	515	6346
"NM_170690"	9962	515	6337
"NM_001038710"	9957	434	1489
"NM_001081269"	9945	338	4678
"NM_007988"	9938	528	8042
"XM_979596"	9923	1	4542
"NM_170729"	9908	515	6283
"NM_007993"	9900	287	8908
"NM_016711"	9893	370	1425
"NM_009791"	9866	160	9528
"NM_148948"	9851	280	6000
"NM_173028"	9850	159	9659
"NM_010585"	9848	329	8578
"NM_010576"	9833	236	3334
"NM_010437"	9788	834	8126
"NM_007872"	9735	313	3039
"NM_008481"	9734	147	9503
"NM_001013392"	9702	1959	6815
"NM_001081453"	9675	22	6363
"NM_133975"	9632	126	6203
"NM_007499"	9620	42	9242
"NM_178119"	9581	620	3193
"NM_181595"	9547	351	3638
"NM_177129"	9535	304	3426
"NM_008787"	9530	295	9045
"NM_019588"	9525	63	6911
"NM_008480"	9518	71	9322
"NM_011240"	9477	129	9290
"NM_001081417"	9444	329	9289
"NM_170688"	9437	515	5812
"NM_027619"	9430	85	2385
"NM_001037136"	9422	620	3034
"NM_001008550"	9368	160	7749
"NM_001081348"	9362	376	5151
"NM_030730"	9342	287	4690
"NM_170728"	9320	515	5695
"NM_198010"	9313	139	7197
"NM_198703"	9313	148	7281
"NM_177863"	9307	260	6835
"NM_009472"	9298	151	2946
"NM_030168"	9297	21	5147
"NM_023755"	9285	97	1536
"NM_176841"	9263	574	6111
"NM_181853"	9228	528	4256
"NM_011990"	9227	353	1861
"NM_007738"	9222	1	8835
"NM_008714"	9193	80	7675
"NM_172463"	9177	149	4360
"NM_001039472"	9119	322	5196
"NM_015753"	9113	527	4174
"NM_001004468"	9103	1	8640
"NM_011743"	9100	177	5843
"NM_054040"	9082	162	4805
"NM_001083616"	9079	496	6930
"NM_011789"	9074	19	6843
"NM_133360"	9054	27	7064
"NM_009260"	9049	426	6890
"NM_023115"	9048	406	6237
"NM_010657"	9021	915	7961
"NM_001040400"	9018	361	6120
"NM_001081379"	8996	172	8166
"NM_011374"	8995	685	1752
"NM_010025"	8982	173	1255
"NM_010595"	8970	2078	3565
"NM_011857"	8964	50	8197
"NM_010515"	8948	174	7625
"NM_027425"	8936	107	1927
"NM_009231"	8919	531	4490
"NM_011424"	8906	371	7894
"NM_053170"	8868	587	4009
"NM_010160"	8867	39	1475
"NM_173437"	8841	396	6023
"NM_008855"	8830	221	2242
"NM_008634"	8818	54	7448
"NM_011708"	8817	238	8679
"NM_001079830"	8817	587	3958
"NM_007626"	8802	132	707
"NM_001076789"	8801	131	706
"NM_011856"	8797	113	8407
"NM_139141"	8796	251	2017
"NM_181729"	8787	13	8565
"NM_080553"	8773	51	8063
"NM_027238"	8764	78	1931
"NM_053204"	8760	569	3931
"NM_007772"	8753	174	8240
"NM_177821"	8749	416	7654
"NM_011308"	8740	256	7587
"NM_009730"	8740	66	4352
"NM_198022"	8740	436	6138
"NM_032610"	8737	143	7828
"NM_013835"	8736	153	1769
"NM_020252"	8711	1084	5583
"NM_028981"	8705	56	6556
"NM_029885"	8703	539	1783
"NM_001083342"	8689	247	4290
"NM_027133"	8689	189	1466
"XM_001476544"	8647	103	7548
"NM_175229"	8613	259	8082
"NM_028149"	8607	260	1570
"NM_172512"	8606	442	1686
"NM_027504"	8605	115	3942
"NM_201232"	8599	419	8494
"NM_177093"	8592	97	1197
"NM_020009"	8587	96	7745
"NM_001039493"	8562	361	2646
"NM_172661"	8556	190	4650
"NM_172719"	8546	27	8042
"NM_029977"	8534	115	7749
"NM_172841"	8526	641	3193
"NM_144925"	8493	444	6134
