"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_017589"	"let-7a"	1000	"109-116"	"109-116"	"other"	-1	0	0	0	"116-116"	"113-115"	"109-112"	0.8285	0.8818	0.7778	-15.2	1.0854	-0.312	0.8444	-4.743	1.0878	0.376	1.0998	0.408	1.1779	0.44	0.9889	0.376	0.9801	0.1	1.3241	0.36	0.9068	0.4	1.0396
"NM_017589"	"let-7a"	1000	"109-118"	"117-118"	"other"	-1	0	0	0	"116-118"	"113-115"	"109-112"	0.8285	0.8818	0.7778	-17.4	1.0492	-0.312	0.8444	-6.969	1.1451	0.39	1.0998	0.408	1.1779	0.409	0.9889	0.448	1.0052	0.1	1.3241	0.36	0.9068	0.4	1.0396
"NM_017589"	"let-7a"	1000	"148-164"	"160-164"	"other"	-1	0	0	0	"156-164"	"153-154"	"148-152"	0.8285	0.8818	0.7778	-18.4	1.0315	-5.149	1.1611	-3.833	1.0896	0.495	1.1339	0.412	1.1779	0.404	0.9889	0.77	1.1047	0.14	1.3241	0.4	0.9068	0.76	2.2157
"NM_017589"	"let-7a"	1000	"150-171"	"166-171"	"offset-6mer"	2	0	0	0	"166-171"	"162-163"	"150-161"	1.1602	0.8818	1.1659	-16.3	1.0556	-4.803	1.1472	-1.359	1.0356	0.482	1.1339	0.431	1.1779	0.345	0.9432	0.528	1.0786	0.15	1.3241	0.36	0.9068	0.72	2.0107
"NM_017589"	"let-7a"	1000	"150-176"	"170-175"	"offset-6mer"	2	0	0	0	"170-176"	"162-163"	"150-161"	1.1602	0.8818	1.1659	-15.8	1.0854	-4.265	1.2036	3.517	0.8224	0.426	1.0674	0.431	1.1779	0.375	0.9187	0.31	0.9601	0.15	1.3241	0.36	0.9068	0.68	1.7275
"NM_017589"	"let-7a"	1000	"68-81"	"78-81"	"other"	-1	0	1	0	"76-81"	"75-75"	"68-71"	1.1271	1.134	0.7778	-15.8	1.0854	-2.608	1.1841	-5.181	1.1792	0.604	1.3052	0.375	1.0562	0.423	0.9889	0.081	0.9668	0.06	1.0133	0.52	1.4126	0.4	1.0396
"NM_017589"	"let-7a"	1000	"75-91"	"87-91"	"other"	-1	1	0	0	"84-90"	"79-83"	"75-78"	0.8285	0.8818	0.7778	-18.6	1.0315	-1.966	1.0756	-2.257	1.0858	0.411	1.0674	0.527	1.128	0.406	0.9889	0.431	1.0052	0.07	1.0133	0.52	1.4126	0.36	1.0396
"NM_017589"	"let-7b"	1000	"103-114"	"109-114"	"other"	-1	0	0	0	"0-0"	"113-114"	"103-112"	0.8285	0.8818	0.7778	-16.5	1.0556	-0.304	0.8444	-2.54	1.0858	0.315	1.0386	0.469	1.0884	0.473	1.0538	0.304	0.9601	0.1	1.3241	0.44	1.0746	0.4	1.0396
"NM_017589"	"let-7b"	1000	"103-116"	"109-116"	"other"	-1	0	0	0	"116-116"	"113-115"	"103-112"	0.8285	0.8818	0.7778	-20	0.8683	-0.362	0.8444	-3.008	1.0896	0.354	1.0998	0.469	1.0884	0.44	0.9889	0.376	0.9801	0.1	1.3241	0.44	1.0746	0.4	1.0396
"NM_017589"	"let-7b"	1000	"103-118"	"117-118"	"other"	-1	0	0	0	"116-118"	"113-115"	"103-112"	0.8285	0.8818	0.7778	-22.2	0.8989	-0.362	0.8444	-5.218	1.1792	0.366	1.0998	0.469	1.0884	0.409	0.9889	0.448	1.0052	0.1	1.3241	0.44	1.0746	0.4	1.0396
