Accession	TotLen	CDSFrst	CDSLast
NM_015035	9991	379	3249
NM_014112	9990	579	4463
NM_001001928	9965	183	1589
NM_153834	9931	292	9534
NM_016248	9919	176	5881
NM_022459	9902	37	3492
NM_001003406	9902	1	6567
NM_015040	9901	159	6455
NM_017596	9895	318	5192
NM_014141	9890	517	4512
NM_017782	9866	626	7918
NM_001099952	9858	349	8481
NM_001039547	9834	132	1721
NM_015419	9797	155	8641
NM_006750	9771	21	1643
NM_014903	9758	174	7265
NM_000721	9734	166	6978
NM_006734	9732	744	8084
NM_003292	9727	298	7389
NM_006306	9725	70	3771
NM_000426	9708	106	9474
NM_017650	9705	283	3579
NM_015346	9688	136	7755
NM_017754	9658	235	4557
NM_014331	9648	281	1786
NM_015557	9646	101	5965
NM_001100164	9642	200	2137
NM_001105243	9632	1677	4982
NM_018084	9630	749	6280
NM_001009931	9623	77	8629
NM_001030055	9604	316	4824
NM_030625	9601	506	6916
NM_003747	9599	6	3989
NM_014423	9580	409	3900
NM_021964	9573	487	2871
NM_020717	9556	27	4508
NM_015335	9546	208	6840
NM_152756	9535	25	5151
NM_005559	9530	95	9322
NM_001079526	9512	317	1819
NM_001017440	9510	528	1187
NM_001080467	9508	222	5768
NM_000084	9505	249	2489
NM_015313	9501	8	4642
XM_001714980	9480	1	8373
NM_002977	9469	49	5982
NM_001457	9463	166	7974
NM_021961	9448	666	1901
NM_133493	9447	426	4763
NM_015902	9410	34	8433
NM_144973	9409	187	4011
NM_000555	9406	173	1498
NM_178457	9404	1	5034
NM_032217	9390	118	7929
NM_016333	9379	550	8808
NM_005935	9378	408	4040
NM_006252	9369	72	1730
NM_022166	9336	86	2965
NM_006729	9335	350	3655
NM_013275	9326	462	8453
NM_001099677	9313	581	1567
NM_017617	9309	1	7668
NM_020774	9308	1	3021
NM_018351	9288	225	4517
NM_001099412	9285	545	6559
NM_032160	9281	1225	4893
NM_001076786	9271	268	5475
NM_001037293	9261	71	1210
NM_001093	9260	10	7386
NM_005895	9252	560	5056
NM_198578	9234	121	7704
NM_017628	9215	387	3884
NM_012164	9186	239	1603
NM_000130	9179	146	6820
NM_030647	9178	5	2830
NM_001014342	9170	74	7249
NM_000094	9169	2	8836
NM_182762	9167	310	2868
NM_033389	9166	1	4272
NM_020733	9156	69	4214
NM_001458	9146	210	8387
NM_024817	9145	80	3136
NM_015382	9134	490	8322
NM_133374	9133	100	2685
NM_004815	9121	370	4155
NM_021813	9120	709	3234
NM_004285	9117	274	2649
NM_000876	9093	149	7624
NM_001080428	9090	119	7726
NM_007011	9085	875	2152
XM_001723403	9076	205	4893
NM_033224	9074	14	952
NM_005160	9068	148	2214
NM_000208	9059	110	4258
NM_014866	9059	310	7383
NM_007038	9046	123	2915
NM_002224	9042	220	8235
NM_032242	9040	5	5626
NM_005840	9038	455	1321
NM_015071	9035	36	2480
NM_000132	9030	172	7227
NM_014503	9029	157	8514
NM_021090	9008	329	3925
NM_006420	9004	153	5510
NM_138295	9001	1	8550
NM_130847	8999	171	3041
NM_001081676	8994	493	6348
NM_001723	8993	109	8058
NM_001083621	8992	512	4231
NM_006037	8980	793	4047
NM_032447	8967	22	8451
NM_152624	8947	199	1461
NM_001003674	8944	1039	1848
NM_013449	8934	195	5912
NM_001001396	8911	885	4397
NM_153487	8907	1180	4047
NM_004491	8904	1	4500
NM_002114	8891	180	8336
NM_001101676	8884	130	615
NM_001040712	8848	712	5220
NM_020340	8847	1	6534
XM_001717392	8847	226	8847
NM_015175	8843	180	8444
NM_004321	8843	147	5219
NM_001024647	8839	317	1081
NM_000552	8833	251	8692
NM_001033117	8829	677	3904
XM_001714387	8828	101	1399
NM_024949	8822	183	3761
NM_175861	8821	475	2799
NM_001040142	8810	291	6308
NM_033390	8807	52	2703
NM_015205	8795	89	3493
NM_144571	8794	83	1750
NM_182515	8790	361	2028
NM_006197	8788	423	6497
NM_002214	8787	706	3015
NM_199420	8787	130	7902
NM_002737	8787	45	2063
NM_012309	8778	1	3765
XM_001717531	8778	1	8778
NM_198270	8776	339	5231
NM_015254	8774	60	5540
NM_006546	8769	335	2068
NM_001099272	8767	377	2215
NM_001429	8765	403	7647
NM_207406	8763	581	2185
NM_004947	8755	24	6116
NM_017639	8751	1	8751
NM_003108	8737	56	1381
NM_207303	8732	387	4526
XM_001713958	8728	1138	1926
NM_022114	8726	81	3908
NM_001858	8725	118	3546
NM_001080973	8720	90	2309
NM_173602	8715	157	4887
NM_020971	8705	103	7797
NM_006901	8704	474	8120
