"Transcript"	"miRNA"	"UTR_length"	"site_position"	"Seed_kind"	"region12.17"	"Ghybrid"	"Gnucl"	"Gtotal"	"SiteAcc"	"UpsAcc"	"DwsAcc"	"UpAU"	"DwAU"	"site_conser"	"SiteBegin"	"line_prob"	"quad_prob"
"NM_017589"	"let-7a"	1000	"109-116"	"other"	0	-15.2	-0.312	-4.743	0.376	0.408	0.44	0.36	0.4	0.019625	7.78571428571429	0.978255530399692	0.97511035980049
"NM_017589"	"let-7a"	1000	"109-118"	"other"	0	-17.4	-0.312	-6.969	0.39	0.408	0.409	0.36	0.4	0.0241	7.78571428571429	0.978883363961481	0.983281917293125
"NM_017589"	"let-7a"	1000	"148-164"	"other"	0	-18.4	-5.149	-3.833	0.495	0.412	0.404	0.4	0.76	0.000588235294117647	10.5714285714286	0.997838569219308	0.99999996132534
"NM_017589"	"let-7a"	1000	"150-171"	"offset-6mer"	0	-16.3	-4.803	-1.359	0.482	0.431	0.345	0.36	0.72	0.000409090909090909	10.7142857142857	0.997782685518324	0.999999973091266
"NM_017589"	"let-7a"	1000	"150-176"	"offset-6mer"	0	-15.8	-4.265	3.517	0.426	0.431	0.375	0.36	0.68	0.00214814814814815	10.7142857142857	0.997394733289486	0.999999885698713
"NM_017589"	"let-7a"	1000	"68-81"	"other"	1	-15.8	-2.608	-5.181	0.604	0.375	0.423	0.52	0.4	0.00214285714285714	4.85714285714286	0.933928950768527	0.99313130272414
"NM_017589"	"let-7a"	1000	"75-91"	"other"	0	-18.6	-1.966	-2.257	0.411	0.527	0.406	0.52	0.36	0.000294117647058824	5.35714285714286	0.932244327747631	0.95979864636154
"NM_017589"	"let-7b"	1000	"103-114"	"other"	0	-16.5	-0.304	-2.54	0.315	0.469	0.473	0.44	0.4	0.00616666666666667	7.35714285714286	0.972612996715631	0.966712429225908
"NM_017589"	"let-7b"	1000	"103-116"	"other"	0	-20	-0.362	-3.008	0.354	0.469	0.44	0.44	0.4	0.0112142857142857	7.35714285714286	0.973746205274235	0.98264150324511
"NM_017589"	"let-7b"	1000	"103-118"	"other"	0	-22.2	-0.362	-5.218	0.366	0.469	0.409	0.44	0.4	0.0150625	7.35714285714286	0.974465538200956	0.988134460316708
"NM_017589"	"let-7b"	1000	"128-141"	"other"	0	-15.6	-0.568	1.953	0.398	0.486	0.446	0.32	0.36	0.000642857142857143	9.14285714285714	0.987655795254123	0.975558105080205
"NM_017589"	"let-7b"	1000	"128-143"	"other"	0	-16.4	-0.568	5.936	0.356	0.486	0.484	0.32	0.44	0.001	9.14285714285714	0.9890657241153	0.993962947304233
"NM_017589"	"let-7b"	1000	"128-155"	"other"	0	-19.5	-0.615	3.86	0.398	0.486	0.421	0.32	0.64	0.00157142857142857	9.14285714285714	0.99348043838154	0.999988279895897
"NM_017589"	"let-7b"	1000	"128-164"	"other"	0	-22.6	-5.412	2.508	0.42	0.486	0.404	0.32	0.76	0.00121621621621622	9.14285714285714	0.99517255108695	0.999999530460676
"NM_017589"	"let-7b"	1000	"147-171"	"offset-6mer"	0	-17.7	-4.711	-2.844	0.516	0.388	0.345	0.4	0.72	0.00052	10.5	0.997627730006002	0.999999974230216
"NM_017589"	"let-7b"	1000	"156-176"	"offset-6mer"	0	-19.7	-0.385	-3.25	0.432	0.392	0.375	0.36	0.68	0.00238095238095238	11.1428571428571	0.997935955354256	0.999999859056773
"NM_017589"	"let-7b"	1000	"23-47"	"other"	0	-15.3	-0.416	4.42	0.398	0.294	0.436	0.455	0.56	0.08	1.64285714285714	0.751202094711243	0.864857409944697
"NM_017589"	"let-7b"	1000	"66-81"	"other"	1	-16.2	-2.608	-4.303	0.545	0.366	0.423	0.56	0.4	0.001875	4.71428571428571	0.92725693031936	0.992570082862483
"NM_017589"	"let-7b"	1000	"67-91"	"other"	0	-20.1	-1.966	-3.751	0.534	0.363	0.406	0.56	0.36	0.00132	4.78571428571429	0.918498417986567	0.96912328174922
"NM_017589"	"let-7c"	1000	"103-116"	"other"	0	-18.8	-0.362	-1.808	0.354	0.469	0.44	0.44	0.4	0.0112142857142857	7.35714285714286	0.973646474884714	0.984313833906227
"NM_017589"	"let-7c"	1000	"103-118"	"other"	0	-21	-0.362	-4.018	0.366	0.469	0.409	0.44	0.4	0.0150625	7.35714285714286	0.974368497377302	0.989277685280436
"NM_017589"	"let-7c"	1000	"128-141"	"other"	0	-15.3	-0.568	2.253	0.398	0.486	0.446	0.32	0.36	0.000642857142857143	9.14285714285714	0.987643898887983	0.97629470096324
"NM_017589"	"let-7c"	1000	"128-143"	"other"	0	-16.1	-0.568	6.236	0.356	0.486	0.484	0.32	0.44	0.001	9.14285714285714	0.989055163722044	0.99415589254054
"NM_017589"	"let-7c"	1000	"128-155"	"other"	0	-19.2	-0.615	4.16	0.398	0.486	0.421	0.32	0.64	0.00157142857142857	9.14285714285714	0.993474112258928	0.999988688173856
"NM_017589"	"let-7c"	1000	"128-164"	"other"	0	-22.3	-5.412	2.808	0.42	0.486	0.404	0.32	0.76	0.00121621621621622	9.14285714285714	0.995167858450112	0.99999954769849
"NM_017589"	"let-7c"	1000	"156-171"	"offset-6mer"	0	-16.3	-4.711	-4.171	0.511	0.392	0.345	0.36	0.72	6.25e-05	11.1428571428571	0.998250730445828	0.99999998329778
"NM_017589"	"let-7c"	1000	"156-176"	"offset-6mer"	0	-17.6	-0.385	-1.15	0.432	0.392	0.375	0.36	0.68	0.00238095238095238	11.1428571428571	0.997921823493649	0.999999893175598
"NM_017589"	"let-7c"	1000	"67-91"	"other"	0	-19	-1.966	-2.651	0.534	0.363	0.406	0.56	0.36	0.00132	4.78571428571429	0.918231144861361	0.970833571011587
