"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_001039655"	"miR-328"	1000	"790-809"	"804-809"	"6mer"	0	0	0	0	"803-809"	"802-802"	"790-798"	0.8336	0.851	0.8519	-29.5	0.7386	-0.73	0.9231	-0.895	0.8875	0.319	0.7915	0.276	0.7763	0.347	0.99	0.514	1.1897	0.79	0.8545	0.533	0.809	0.433	0.734
"NM_001039655"	"miR-582-5p"	1000	"826-846"	"841-846"	"6mer"	0	0	0	0	"840-846"	"0-0"	"826-831"	0.8336	0.851	0.8519	-13.7	0.9018	-0.48	0.689	-6.048	1.1901	0.462	1.2859	0.451	1.083	0.753	1.3047	0.397	1.0219	0.82	0.8077	0.333	0.7209	0.667	1.417
"NM_001039655"	"miR-761"	1000	"823-838"	"833-838"	"offset-6mer"	0	0	0	0	"833-838"	"830-831"	"823-827"	0.5858	0.851	0.5654	-22.5	1.0473	-4.951	1.3176	-14.682	1.5687	0.486	1.2859	0.397	0.8846	0.511	1.1941	0.659	1.0332	0.82	0.8077	0.367	0.6371	0.667	1.417
"NM_001039655"	"miR-9"	1000	"912-932"	"927-932"	"offset-6mer"	0	0	0	0	"927-932"	"0-0"	"912-924"	0.5858	0.851	0.5654	-16	1.048	-1.507	1.0718	3.229	0.6206	0.477	1.2859	0.462	1.083	0.267	0.8494	0.527	1.1897	0.91	1.2727	0.733	1.5587	0.467	0.9116
"NM_007759"	"miR-124"	900	"691-710"	"705-710"	"6mer"	0	0	0	0	"705-710"	"700-700"	"691-697"	0.8336	0.851	0.8519	-19.1	1.0788	-0.053	0.689	0.0649999999999977	0.6206	0.265	0.7489	0.506	1.1709	0.379	0.9832	0.045	0.8638	0.76	0.8545	0.5	0.7024	0.433	0.734
"NM_007759"	"miR-138"	900	"769-794"	"789-794"	"offset-6mer"	0	0	0	0	"789-794"	"781-788"	"769-779"	0.5858	0.851	0.5654	-22.7	1.0473	-0.045	0.689	11.785	0.6206	0.311	0.7915	0.265	0.7763	0.4	0.9832	0.317	1.0183	0.85	0.8077	0.333	0.7209	0.433	0.734
"NM_007759"	"miR-28"	900	"771-787"	"782-787"	"offset-6mer"	0	0	0	0	"782-787"	"0-0"	"771-779"	0.5858	0.851	0.5654	-18.7	1.1136	-0.029	0.689	-0.856999999999999	0.8875	0.299	0.7489	0.27	0.7763	0.453	1.1204	0.193	0.6686	0.85	0.8077	0.3	0.8264	0.433	0.734
"NM_007759"	"miR-34a"	900	"572-589"	"584-589"	"6mer"	0	0	0	0	"584-589"	"581-583"	"572-580"	0.8336	0.851	0.8519	-21.7	1.0529	-6.471	1.3022	-9.447	1.4101	0.5	1.2859	0.423	1.076	0.504	1.1941	0.667	1.0332	0.63	0.7827	0.4	0.6371	0.4	0.5771
"NM_007759"	"miR-449a"	900	"572-589"	"584-589"	"6mer"	0	0	0	0	"584-589"	"581-581"	"572-580"	0.8336	0.851	0.8519	-21	1.0529	-5.429	1.0322	-8.747	1.3178	0.5	1.2859	0.423	1.076	0.504	1.1941	0.667	1.0332	0.63	0.7827	0.4	0.6371	0.4	0.5771
"NM_007759"	"miR-449b"	900	"568-590"	"584-589"	"6mer"	0	0	0	0	"584-589"	"579-581"	"568-577"	0.8336	0.851	0.8519	-21.3	1.0529	-5.512	1.18	-8.045	1.3178	0.487	1.2859	0.357	0.8846	0.512	1.1941	0.667	1.0332	0.63	0.7827	0.4	0.6371	0.367	0.5771
