"Transcript"	"miRNA"	"UTR_length"	"site_position"	"seed_position"	"Seed_kind"	"region12.17"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Gnucl"	"Gtotal"	"SiteAcc"	"UpsAcc"	"DwsAcc"	"SeedAcc"	"UpAU"	"site_conser"	"seed_conser"	"SiteBegin"	"line_prob"	"quad_prob"
"NM_001001182"	"miR-101a"	7980	"7865-7882"	"7876-7881"	"6mer"	1	1.1751	0.8519	-15.2	-0.924	2.1	0.289	0.468	0.263	0.302	0.767	1	1	0.910575427682737	0.644690226454991	0.585011041789617
"NM_001001182"	"miR-101b"	7980	"7865-7882"	"7876-7881"	"6mer"	1	1.1751	0.8519	-15.5	-0.924	1.8	0.289	0.468	0.263	0.302	0.767	1	1	0.910575427682737	0.645011950830874	0.590330055978919
"NM_001001182"	"miR-128"	7980	"7876-7882"	"7877-7882"	"6mer"	0	0.851	0.8519	-13.3	-0.888	-4.149	0.269	0.432	0.263	0.282	0.7	1	1	0.919129082426128	0.625265547564271	0.489991389486016
"NM_001001182"	"miR-128"	7980	"7847-7868"	"7862-7868"	"7mer-m8"	0	0.851	1.553	-18.6	-1.491	1.151	0.423	0.636	0.299	0.241	0.6	0.999318181818182	1	0.896578538102644	0.730170771569094	0.773709762655537
"NM_001001182"	"miR-144"	7980	"7866-7882"	"7876-7881"	"6mer"	0	0.851	0.8519	-17	-0.937	-0.512	0.293	0.459	0.263	0.302	0.8	1	1	0.91135303265941	0.628845402023573	0.616383807320095
"NM_001001182"	"miR-181a"	7980	"7247-7279"	"7273-7278"	"6mer"	0	0.851	0.8519	-14.6	-0.831	6.947	0.386	0.296	0.384	0.339	0.733	1	1	0.430015552099533	0.506188061653614	0.5386435318398
"NM_001001182"	"miR-181b"	7980	"7254-7279"	"7273-7278"	"6mer"	0	0.851	0.8519	-18.2	-0.974	-2.433	0.424	0.325	0.384	0.339	0.733	1	1	0.435458786936236	0.544241635910557	0.558100231981525
"NM_001001182"	"miR-181c"	7980	"7262-7279"	"7273-7278"	"6mer"	0	0.851	0.8519	-14.7	-0.147	-1.931	0.445	0.341	0.384	0.339	0.767	1	1	0.441679626749611	0.560505019479418	0.55610945695998
"NM_001001182"	"miR-181d"	7980	"7254-7279"	"7273-7278"	"6mer"	1	1.1751	0.8519	-22.4	-2.636	-6.633	0.424	0.325	0.384	0.339	0.733	1	1	0.435458786936236	0.581643632100864	0.618684343213957
"NM_001001182"	"miR-193"	7980	"7421-7437"	"7432-7437"	"6mer"	0	0.851	0.8519	-17.3	-2.38	-9.465	0.512	0.372	0.416	0.479	0.633	0.999176470588235	0.999166666666667	0.565318818040435	0.620489344425758	0.618948485065556
"NM_001001182"	"miR-193b"	7980	"7399-7437"	"7432-7437"	"6mer"	0	0.851	0.8519	-17.6	-2.325	5.26	0.418	0.384	0.416	0.479	0.867	0.999641025641026	0.999166666666667	0.548211508553655	0.58288706448436	0.611381539153333
"NM_001001182"	"miR-199a-3p"	7980	"7858-7881"	"7875-7880"	"6mer"	1	1.1751	0.8519	-27.7	-3.425	-10.093	0.377	0.567	0.238	0.366	0.733	1	1	0.905132192846034	0.686951308342461	0.818726446579393
"NM_001001182"	"miR-199b"	7980	"7858-7881"	"7875-7880"	"6mer"	1	1.1751	0.8519	-27.7	-3.425	-10.093	0.377	0.567	0.238	0.366	0.733	1	1	0.905132192846034	0.686951308342461	0.818726446579393
"NM_001001182"	"miR-27a"	7980	"7870-7882"	"7877-7882"	"offset-6mer"	0	0.851	0.5654	-17	-0.928	-5.277	0.336	0.416	0.263	0.282	0.733	1	1	0.914463452566096	0.604107753669691	0.583553262832599
"NM_001001182"	"miR-27a"	7980	"7850-7868"	"7863-7868"	"offset-6mer"	0	0.851	0.5654	-18.2	-1.993	0.736000000000001	0.436	0.644	0.299	0.215	0.7	1	1	0.89891135303266	0.640286107801913	0.706959776110002
"NM_001001182"	"miR-27b"	7980	"7870-7882"	"7877-7882"	"offset-6mer"	0	0.851	0.5654	-17	-0.928	-5.277	0.336	0.416	0.263	0.282	0.733	1	1	0.914463452566096	0.604107753669691	0.583553262832599
"NM_001001182"	"miR-27b"	7980	"7849-7868"	"7863-7868"	"offset-6mer"	0	0.851	0.5654	-20.3	-1.993	-1.051	0.427	0.637	0.299	0.215	0.667	1	1	0.898133748055988	0.63388307123889	0.732793032530383
"NM_001001182"	"miR-30a"	7980	"7298-7316"	"7309-7315"	"8mer"	0	0.851	2.7436	-16.6	-1.249	-7.518	0.491	0.435	0.474	0.387	0.8	0.99721052631579	1	0.469673405909798	0.819282721874312	0.85892717051676
"NM_001001182"	"miR-30b"	7980	"7296-7316"	"7309-7315"	"8mer"	0	0.851	2.7436	-15.2	-1.249	-6.867	0.531	0.35	0.474	0.387	0.8	0.99747619047619	1	0.468118195956454	0.818607000737495	0.868702340769572
"NM_001001182"	"miR-30c"	7980	"7309-7316"	"7309-7315"	"8mer"	0	0.851	2.7436	-12.9	-1.249	-6.694	0.426	0.479	0.474	0.387	0.8	1	1	0.478227060653188	0.816978164989285	0.836904860405281
"NM_001001182"	"miR-30d"	7980	"7298-7316"	"7309-7315"	"8mer"	0	0.851	2.7436	-16.6	-1.249	-7.518	0.491	0.435	0.474	0.387	0.8	0.99721052631579	1	0.469673405909798	0.819282721874312	0.85892717051676
