"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_017589"	"miR-130b-5p"	1000	"59-75"	"70-75"	"6mer"	0	0	0	0	"67-75"	"64-66"	"59-62"	0.9718	0.9068	0.9788	-23.6	0.6369	-5.747	0.6584	-8.101	1.0358	0.513	1.2007	0.295	0.9176	0.385	0.6195	0.86	1.9929	0.05	1.1822	0.633	1.4432	0.4	0.9734
"NM_017589"	"miR-151-5p"	1000	"66-81"	"76-81"	"offset-6mer"	0	0	0	0	"76-81"	"73-75"	"66-69"	0.54	0.9068	0.533	-27.1	0.5284	-4.382	1.8079	-15.203	1.3584	0.545	1.2007	0.366	1.3023	0.462	1.6104	0.3	1.2031	0.06	1.1822	0.533	1.2844	0.4	0.9734
"NM_017589"	"miR-186"	1000	"9-35"	"30-35"	"offset-6mer"	0	0	0	0	"30-35"	"22-24"	"9-21"	0.54	0.9068	0.533	-24.6	0.8576	-1.264	1.0321	-12.221	1.3742	0.402	1.0132	0.082	0.6299	0.258	0.7135	0.46	0.6102	0	1.1822	0.375	1.0284	0.56	1.0876
"NM_017589"	"miR-186"	1000	"184-219"	"213-218"	"6mer"	0	0	0	0	"197-218"	"193-196"	"184-192"	0.9718	0.9068	0.9788	-14.5	1.0186	-0.025	0.7335	6.642	0.7899	0.351	0.9235	0.379	1.3023	0.372	0.6195	0.148	1.1828	0.18	1.0859	0.633	1.4432	0.68	2.0257
"NM_017589"	"miR-191"	1000	"109-127"	"122-127"	"offset-6mer"	0	0	0	0	"122-127"	"0-0"	"109-112"	0.54	0.9068	0.533	-16.2	0.9176	-3.973	1.3577	0.513999999999999	0.7899	0.444	1.0132	0.408	1.5052	0.379	0.6195	0.432	1.2225	0.1	1.0859	0.367	1.0284	0.32	0.6008
"NM_017589"	"miR-361-5p"	1000	"24-55"	"50-55"	"offset-6mer"	0	0	0	0	"50-55"	"38-49"	"24-37"	0.54	0.9068	0.533	-20.6	1.4637	-1.269	1.0321	-3.022	0.964	0.377	0.9235	0.326	1.0095	0.403	0.7577	0.378	0.7538	0.02	1.1822	0.435	1.0377	0.44	1.1751
"NM_001100418"	"miR-10a"	900	"14-32"	"26-31"	"7mer-A1"	0	1	0	0	"25-31"	"0-0"	"14-22"	1.8806	0.9068	1.9783	-21.6	1.1247	-0.007	0.7335	4.472	0.7899	0.333	1.0235	0.271	0.9176	0.267	0.7135	0.182	0.885	0.01	1.1822	0.615	1.4432	0.2	0.5306
"NM_001100418"	"miR-10b"	900	"14-32"	"26-31"	"7mer-A1"	0	1	0	0	"25-31"	"0-0"	"14-22"	1.8806	0.9068	1.9783	-21.6	1.1247	-0.007	0.7335	4.472	0.7899	0.333	1.0235	0.271	0.9176	0.267	0.7135	0.182	0.885	0.01	1.1822	0.615	1.4432	0.2	0.5306
"NM_001100418"	"miR-331-3p"	900	"93-108"	"102-107"	"offset-6mer"	0	0	0	0	"102-107"	"100-101"	"93-95"	0.54	0.9068	0.533	-23.5	0.6369	-0.046	0.7335	-2.864	1.3472	0.417	1.0132	0.508	0.9494	0.624	0.9547	0.483	0.6102	0.1	1.0859	0.2	0.4271	0.4	0.9734
"NM_001100418"	"miR-331-3p"	900	"93-111"	"102-107"	"offset-6mer"	0	0	0	0	"102-110"	"100-101"	"93-95"	0.54	0.9068	0.533	-25	0.5284	-0.046	0.7335	3.145	0.7899	0.352	0.9235	0.508	0.9494	0.703	3.1228	0.483	0.6102	0.1	1.0859	0.2	0.4271	0.36	0.9734
"NM_001100418"	"miR-423-3p"	900	"98-129"	"124-129"	"offset-6mer"	0	0	1	0	"124-129"	"113-115"	"98-109"	0.7356	1.1028	0.533	-28.1	0.5284	-0.184	0.7335	-0.247	1.1318	0.522	1.2007	0.343	1.0095	0.277	0.7135	0.426	1.2225	0.1	1.0859	0.2	0.4271	0.24	0.8242
"NM_001100418"	"miR-484"	900	"66-101"	"94-100"	"7mer-m8"	0	0	1	0	"94-100"	"88-90"	"66-84"	1.3868	1.1028	1.3841	-32.8	0.5284	-0.861	0.9389	5.77200000000001	0.7899	0.38	0.9235	0.282	0.9176	0.377	0.6195	0.4	0.7538	0.07	1.1822	0.233	0.8125	0.36	0.9734
"NM_001100418"	"miR-7"	900	"3-8"	"3-8"	"6mer"	0	0	0	0	"3-8"	"0-0"	"0-0"	0.9718	0.9068	0.9788	-13	1.0186	-0.066	0.7335	-1.923	1.1113	0.066	0.1968	0.758	0.7939	0.318	0.8623	0.066	1.1811	0	1.1822	1	0.4488	0.28	0.7348
