"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_024428"	"miR-101a"	800	"543-559"	"553-558"	"7mer-A1"	0	1	0	0	"549-558"	"548-548"	"543-545"	1.4555	0.851	1.5179	-16.8	1.048	-0.17	0.689	-2.112	0.8848	0.369	0.9517	0.357	0.8846	0.757	1.3047	0.198	0.6686	0.67	0.7827	0.633	1.3585	0.667	1.417
"NM_024428"	"miR-101b"	800	"543-559"	"553-558"	"7mer-A1"	0	1	0	0	"549-558"	"548-548"	"543-545"	1.4555	0.851	1.5179	-16.8	1.048	-0.17	0.689	-2.112	0.8848	0.369	0.9517	0.357	0.8846	0.757	1.3047	0.198	0.6686	0.67	0.7827	0.633	1.3585	0.667	1.417
"NM_024428"	"miR-106a"	800	"625-650"	"645-650"	"6mer"	0	0	0	0	"645-650"	"0-0"	"625-638"	0.8336	0.851	0.8519	-14	0.9018	-1.765	1.0718	1.079	0.6206	0.428	1.1416	0.411	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.433	0.5859	0.533	0.9623
"NM_024428"	"miR-106a"	800	"589-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"0-0"	"589-595"	0.8336	0.851	0.8519	-17.1	1.1236	-2.106	1.2422	-1.642	0.9129	0.574	1.2773	0.609	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-106b"	800	"629-650"	"645-650"	"6mer"	0	0	0	0	"640-650"	"638-639"	"629-635"	0.8336	0.851	0.8519	-13	0.9018	-0.418	0.689	2.088	0.6206	0.404	1.1416	0.416	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.4	0.6371	0.533	0.9623
"NM_024428"	"miR-106b"	800	"588-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"603-604"	"588-595"	0.8336	0.851	0.8519	-13.6	0.9018	-2.099	1.2422	0.201000000000001	0.6206	0.56	1.2773	0.643	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-133a"	800	"611-637"	"632-637"	"offset-6mer"	0	0	0	0	"632-637"	"616-618"	"611-615"	0.5858	0.851	0.5654	-19.9	1.0788	-0.9	0.9231	4.694	0.6206	0.399	0.9517	0.607	1.3537	0.357	0.9832	0.283	0.8578	0.76	0.8545	0.5	0.7024	0.533	0.9623
"NM_024428"	"miR-133b"	800	"611-637"	"632-637"	"offset-6mer"	0	0	0	0	"632-637"	"616-618"	"611-615"	0.5858	0.851	0.5654	-19.9	1.0788	-0.9	0.9231	4.694	0.6206	0.399	0.9517	0.607	1.3537	0.357	0.9832	0.283	0.8578	0.76	0.8545	0.5	0.7024	0.533	0.9623
"NM_024428"	"miR-139-5p"	800	"527-561"	"554-560"	"8mer"	0	1	0	0	"554-560"	"550-552"	"527-549"	2.6747	0.851	2.7436	-24.8	0.9167	-0.378	0.689	-1.39	0.9129	0.391	0.9517	0.452	1.083	0.762	1.3047	0.255	0.8578	0.65	0.7827	0.6	0.99	0.633	1.2684
"NM_024428"	"miR-144"	800	"541-559"	"553-558"	"7mer-A1"	0	1	1	0	"553-558"	"550-550"	"541-545"	1.7549	1.1751	1.5179	-16.3	1.048	-3.957	1.3086	-1.612	0.9129	0.419	1.1416	0.356	0.8846	0.757	1.3047	0.198	0.6686	0.67	0.7827	0.667	1.5454	0.667	1.417
"NM_024428"	"miR-17"	800	"589-613"	"607-612"	"6mer"	0	0	0	0	"607-612"	"0-0"	"589-595"	0.8336	0.851	0.8519	-17.1	1.1236	-2.106	1.2422	-1.642	0.9129	0.574	1.2773	0.609	1.3537	0.331	0.99	0.616	1.106	0.73	0.8545	0.667	1.5454	0.433	0.734
"NM_024428"	"miR-17"	800	"625-650"	"645-650"	"6mer"	0	0	0	0	"645-650"	"0-0"	"625-638"	0.8336	0.851	0.8519	-14	0.9018	-1.765	1.0718	1.079	0.6206	0.428	1.1416	0.411	1.076	0.472	1.1204	0.232	0.9784	0.78	0.8545	0.433	0.5859	0.533	0.9623
"NM_024428"	"miR-199a-3p"	800	"540-558"	"552-557"	"6mer"	0	0	0	0	"552-557"	"551-551"	"540-548"	0.8336	0.851	0.8519	-21.2	1.0529	-0.152	0.689	-6.891	1.1901	0.426	1.1416	0.31	0.8969	0.773	1.3047	0.206	0.9784	0.67	0.7827	0.633	1.3585	0.667	1.417
"NM_024428"	"miR-199b"	800	"540-558"	"552-557"	"6mer"	0	0	0	0	"552-557"	"551-551"	"540-548"	0.8336	0.851	0.8519	-21.2	1.0529	-0.152	0.689	-6.891	1.1901	0.426	1.1416	0.31	0.8969	0.773	1.3047	0.206	0.9784	0.67	0.7827	0.633	1.3585	0.667	1.417
