"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_024428"	"let-7a"	800	"364-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"364-370"	0.8445	1.3404	0.5154	-17.3	1.0668	-6.094	1.049	2.62	0.6134	0.402	1.0526	0.351	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7a"	800	"364-391"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"364-370"	0.8445	1.3404	0.5154	-16.5	1.1736	-6.094	1.049	5.685	0.6134	0.421	1.0526	0.351	1.0402	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7b"	800	"376-391"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"385-385"	"376-382"	0.5103	0.746	0.5154	-20.8	1.004	-6.096	1.049	-3.681	1.166	0.473	1.2496	0.316	0.8468	0.384	0.9418	0.848	1.2639	0.47	1.1358	0.5	0.9943	0.567	1.7471
"NM_024428"	"let-7b"	800	"376-393"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"385-385"	"376-382"	0.5103	0.746	0.5154	-21.6	1.0916	-6.096	1.049	-6.06	1.1616	0.435	1.0526	0.316	0.8468	0.406	0.897	0.848	1.2639	0.47	1.1358	0.5	0.9943	0.567	1.7471
"NM_024428"	"let-7c"	800	"360-391"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"360-370"	0.8445	1.3404	0.5154	-18.7	1.0443	-6.094	1.049	7.145	0.6134	0.406	1.0526	0.383	1.0402	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.6	1.6667	0.567	1.7471
"NM_024428"	"let-7c"	800	"360-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-372"	"360-370"	0.8445	1.3404	0.5154	-19.5	1.0325	-6.094	1.049	3.987	0.6134	0.39	0.881	0.383	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.6	1.6667	0.567	1.7471
"NM_024428"	"let-7d"	800	"373-391"	"386-391"	"offset-6mer"	0	0	0	0	"386-391"	"380-380"	"373-379"	0.5103	0.746	0.5154	-18.1	1.0443	-6.022	1.049	1.598	0.6134	0.414	1.0526	0.391	1.0402	0.384	0.9418	0.848	1.2639	0.46	1.1358	0.533	1.2974	0.567	1.7471
"NM_024428"	"let-7e"	800	"364-391"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-385"	"364-370"	0.8445	1.3404	0.5154	-20.6	1.004	-6.29	1.049	1.585	0.6134	0.421	1.0526	0.351	1.0402	0.384	0.9418	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7e"	800	"364-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"371-385"	"364-370"	0.8445	1.3404	0.5154	-21.4	1.0916	-6.29	1.049	-1.48	1.0822	0.402	1.0526	0.351	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
"NM_024428"	"let-7f"	800	"364-393"	"386-391"	"offset-6mer"	0	0	1	0	"386-391"	"370-384"	"364-369"	0.8445	1.3404	0.5154	-17.5	1.0668	-6.088	1.049	2.42	0.6134	0.402	1.0526	0.351	1.0402	0.406	0.897	0.848	1.2639	0.45	1.1358	0.567	1.6667	0.567	1.7471
